,,,,,,,,,,OLS,,,,Variguild,,,
name,score_sta,score_p,,f_sta,f_p,,bp_sta,bp_p,,Est,SE,P,,Est,SE,P,
VH_SS_insp_RSL,0.0132,0.9084,,0.0126,0.9111,,0.012,0.9127,,5.5443,4.2595,0.2001,,5.1804,4.48,0.2541,
VH_LS_insp_RSL,0.2664,0.6057,,0.2559,0.6156,,0.2241,0.636,,0.9214,3.6287,0.8008,,-1.5168,3.9795,0.705,
VDP_exp_LLL,0.0032,0.9551,,0.003,0.9564,,0.0025,0.96,,3.3683,3.5854,0.3529,,1.3867,3.8636,0.7215,
MSV_exp_LLL,10.0169,0.0016,***,12.38,0.0011,***,8.9054,0.0028,,-17.0259,3.2624,0,,-17.3579,3.334,0,
TV_exp_LLL,9.00E-04,0.9754,,9.00E-04,0.9761,,9.00E-04,0.9764,,-5.9012,4.4686,0.1938,,-6.648,3.6333,0.0744,
VH_exp_LLL,0.1814,0.6701,,0.1739,0.6788,,0.1597,0.6895,,5.9693,3.5514,0.1002,,5.2924,3.7774,0.1685,
VH_SS_exp_LLL,0.0273,0.8687,,0.0261,0.8725,,0.0223,0.8814,,2.1693,3.8017,0.5713,,3.0892,4.0092,0.4453,
VH_LS_exp_LLL,0.0225,0.8809,,0.0214,0.8843,,0.0209,0.885,,8.1616,3.6092,0.029,,8.3231,3.2829,0.015,
VDP_exp_LSL,0.0831,0.7732,,0.0795,0.7794,,0.0668,0.796,,2.3633,4.0434,0.562,,2.6658,3.7864,0.4853,
MSV_exp_LSL,0.469,0.4934,,0.4526,0.5048,,0.5637,0.4528,,-10.9705,3.9394,0.008,,-10.8027,2.8807,5.00E-04,
TV_exp_LSL,0.773,0.3793,,0.7511,0.3911,,0.6368,0.4249,,5.8492,4.502,0.201,,5.9134,4.4447,0.1906,
VH_exp_LSL,0.0578,0.8101,,0.0552,0.8154,,0.0504,0.8223,,6.0101,4.3576,0.1751,,6.223,3.9551,0.1231,
VH_SS_exp_LSL,0.0602,0.8062,,0.0575,0.8116,,0.0515,0.8204,,4.8905,3.8562,0.2117,,4.4361,3.5416,0.2173,
VH_LS_exp_LSL,0.0121,0.9123,,0.0116,0.9148,,0.0106,0.918,,4.0666,4.7697,0.3987,,4.0526,3.8484,0.2983,
VDP_exp_RLL,0.1058,0.7449,,0.1013,0.7519,,0.0956,0.7572,,8.2536,3.3302,0.0173,,6.8968,2.5513,0.0099,
MSV_exp_RLL,3.9388,0.0472,*,4.1295,0.0485,*,5.3615,0.0206,,-15.1211,3.479,1.00E-04,***,-14.5838,2.8111,0,***
TV_exp_RLL,0.0517,0.8201,,0.0494,0.8251,,0.05,0.8231,,-4.1048,4.5304,0.3701,,-4.7419,3.9733,0.2394,
VH_exp_RLL,1.0177,0.3131,,0.9945,0.3244,,0.8235,0.3642,,8.0342,3.2873,0.0188,,5.9524,2.5366,0.0237,
VH_SS_exp_RLL,3.7595,0.0525,,3.9238,0.0542,,2.0818,0.1491,,8.7826,3.5861,0.0186,,8.8408,3.7453,0.023,
VH_LS_exp_RLL,0.1544,0.6943,,0.1479,0.7025,,0.165,0.6846,,6.5234,3.4315,0.0642,,5.2334,2.5324,0.045,
VDP_exp_RML,0.0689,0.793,,0.0658,0.7988,,0.0614,0.8043,,2.8545,3.5463,0.4254,,3.1742,3.0786,0.3084,
MSV_exp_RML,0.3883,0.5332,,0.374,0.5441,,0.4905,0.4837,,-10.6053,4.0021,0.0113,,-11.1574,3.0346,7.00E-04,
TV_exp_RML,2.9203,0.0875,,2.9857,0.0913,,2.7536,0.097,,-1.636,4.4278,0.7136,,-1.4722,4.7564,0.7585,
VH_exp_RML,0.0545,0.8155,,0.052,0.8207,,0.0493,0.8243,,4.3952,3.4864,0.2144,,4.3957,3.6147,0.2308,
VH_SS_exp_RML,0.2435,0.6217,,0.2337,0.6313,,0.2324,0.6298,,5.44,3.4404,0.1213,,5.4715,3.5638,0.1322,
VH_LS_exp_RML,0.6898,0.4062,,0.6689,0.4181,,0.571,0.4499,,0.7836,3.7765,0.8366,,1.5262,3.4205,0.6578,
VDP_exp_RSL,0.108,0.7424,,0.1034,0.7494,,0.1003,0.7515,,4.9347,3.9748,0.2213,,4.4045,4.2605,0.3071,
MSV_exp_RSL,0.2279,0.6331,,0.2187,0.6425,,0.2953,0.5868,,-8.8513,4.2876,0.0452,,-9.4065,3.9357,0.0214,
TV_exp_RSL,0.5987,0.4391,,0.5793,0.4508,,0.5379,0.4633,,2.6296,4.359,0.5496,,2.2511,3.952,0.572,
VH_exp_RSL,0.0215,0.8833,,0.0206,0.8867,,0.0223,0.8813,,4.652,4.1982,0.2741,,3.8518,4.6329,0.4104,
VH_SS_exp_RSL,1.0024,0.3167,,0.9792,0.3281,,1.6451,0.1996,,10.3734,4.0347,0.0138,,11.4011,3.2676,0.0012,
VH_LS_exp_RSL,0.1591,0.69,,0.1524,0.6982,,0.1349,0.7134,,-1.7793,3.8131,0.6432,,-1.7174,3.7611,0.6503,
best_pre_fvc,5.8168,0.0159,***,6.1627,0.0155,***,3.777,0.052,,-17.0047,2.4341,0,***,-16.051,2.0449,0,***
best_pre_fev1,4.6931,0.0303,***,4.8866,0.0304,***,4.0464,0.0443,,-19.1254,2.3053,0,***,-18.2221,1.9946,0,***
best_pre_fev1fvc,0.7655,0.3816,,0.7518,0.389,,0.982,0.3217,,-13.5638,3.0255,0,,-13.7456,3.0638,0,
best_pre_fef25_75,0.1255,0.7231,,0.1222,0.7278,,0.1047,0.7463,,-13.2085,2.8146,0,,-14.2036,2.9844,0,
best_pre_pef,4.7759,0.0289,**,4.9792,0.029,**,4.4121,0.0357,,-18.6434,2.3902,0,***,-17.9009,2.2333,0,***
predicted_fvc,0.7394,0.3898,,0.726,0.3972,,0.4677,0.4941,,-10.6992,3.0158,7.00E-04,,-10.5162,2.8609,5.00E-04,
pct_pred_fvc,0.5214,0.4703,,0.5103,0.4775,,0.3545,0.5516,,-16.5935,2.53,0,,-15.7675,2.1827,0,
predicted_fev1,1.6812,0.1948,,1.6733,0.2002,,1.1099,0.2921,,-12.2855,2.9343,1.00E-04,,-11.9482,2.7717,1.00E-04,
pct_pred_fev1,0.0211,0.8844,,0.0205,0.8865,,0.0276,0.8681,,-17.4057,2.495,0,,-16.7799,2.2512,0,
predicted_fev1fvc,0.8499,0.3566,,0.8358,0.3638,,0.7439,0.3884,,-10.6697,2.9884,7.00E-04,,-10.6202,2.3853,0,
pct_pred_fev1fvc,0.5163,0.4724,,0.5027,0.4813,,0.3113,0.5769,,-7.7187,3.255,0.0213,,-7.1148,2.8429,0.0153,
predicted_fef25_75,4.954,0.026,**,5.1789,0.026,**,3.3329,0.0679,,-15.5162,2.6926,0,***,-14.6655,2.2704,0,***
pct_pred_fef25_75,1.2488,0.2638,,1.2351,0.2703,,1.098,0.2947,,-10.3461,2.9898,9.00E-04,,-11.1262,3.134,7.00E-04,
bmi_new,3.1555,0.0757,,3.2232,0.0781,,2.1166,0.1457,,0.3758,0.5381,0.4879,,0.3862,0.459,0.4039,
